human_ratings_template,,,,
source_sentence,model,variant,translation,human_rating
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3,v2,Ecco e nubi di pioggia a vento che si muovono sopra le nubi determinate; potresti credere che l'intero cielo cadesse nel mare.,4
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3,v2,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",1
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3,v2,Le requisizioni dei morti e le pressioni dei vivi fecero la frode di un re feroce.,4
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3,v2,"Acciocché quel che ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato dalla impietà verso il mio padre.",3
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3,v2,I uomini spesso che rimangono fermi nella bugia incontrano la verità.,3
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3,v3,"Quella guerra ben fatta l'opera perché... E da quella parte Aiaces era un cavaliere francese e prode in armi, in un grande modo, ma non era pieno di grande senno.",2
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3,v3,"crudele, e di tutte le colpe prendi vendetta, come dice la legge, e a nessun cavaliere perdoni che pecchi.",3
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3,v3,"Non di un'altra forza d'animo fu ornato Ponzio Aufidiano, cavaliere romano.",4
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3,v3,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non ritornerò più i fatti.",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3,v3,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",1
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3,v3,Ecco e larghi ventipiovoli caggionano delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare.,2
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3,v3,"Tuttavia, chi spera che questi non vogliono ancora credere in Cristo, già vedono con noi, e perché non possono negare, stridono con i denti.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3,v3,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,1
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3,v3,"Cosi che quell'che ora per le sue gran reità è feroce e onorato, lui da ogni male afflitto e tormentato della iniquità verso il mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3,v3,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,1
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3_fewshot,v0,"Quella guerra ben fatta l'opera perché etc. Da un lato, Aiaces era un cavaliere francese e prode in armi, in un modo grande, ma non era pieno di grande senno.",2
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3_fewshot,v0,"Cruel, e prenda la vendetta su tutti i peccati, come dice la legge, e a nessun cavaliere perdoni che commetta un peccato.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3_fewshot,v0,"Non aveva altra forza d'animo, Ponzio Aufidiano, romano cavaliere.",2
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3_fewshot,v0,"Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterrò più i fati.",4
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3_fewshot,v0,"L'officio di questa arte sembra essere dire specialmente per fare credere, e il fine è far credere per lo dire.",2
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3_fewshot,v0,Ecco e larghi ventipiole cagionano delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare.,2
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3_fewshot,v0,"Tuttavia, chi spererebbe ciò che questi che non vogliono ancora credere in Cristo vedono con noi, e perché non possono negarlo, stridono con i denti.",4
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3_fewshot,v0,Le vendette dei morti e le pressioni dei vivi compì la frode di un re furioso.,3
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3_fewshot,v0,"In quanto questo, che, ora, per le sue grandi colpe, è furioso e onorato, soffre di ogni male afflitto e tormentato della impietà verso il mio padre.",3
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3_fewshot,v0,"Gli uomini spesso, quando si stanno fermi nella bugia, incontrano la verità.",4
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3_fewshot,v1,"E, dall' altra parte, Aiaces era un cavaliere francese e prode in armi, in un modo grande, ma non era pieno di gran senno.",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3_fewshot,v1,"Brutale, e di tutte le colpe prendere vendetta, come dice la legge, e non perdonare a nessun cavalier che pecchi.",4
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3_fewshot,v1,"Non aveva alcun altro potere d'anima, il cavaliere romano Ponzio Aufidiano fu adornato.",2
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3_fewshot,v1,"Se questo piace a tutti, e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterrò più i fates.",3
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3_fewshot,v1,"Ufficio di questa arte pare che sia dicere appostatamente per fare credere, e il fine è far credere per lo dire.",4
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3_fewshot,v1,Ecco che i venti piovoli si disperdono nei nuvoli soli; e potresti credere che tutto il cielo cadessi nello stagno.,2
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3_fewshot,v1,"Tuttavia, chi sarebbe disposto a sperare che anche quelli che non desiderano ancora credere in Cristo, già vedono con noi, e perché non possono negarlo, stridono con i denti.",5
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3_fewshot,v1,I vendimenti dei morti e le presure dei vivi fecero la frode di un feroce re.,4
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3_fewshot,v1,"In modo che quegli, che, ora, per le sue gran reità, è feroce e onorevole, egli è afflitto e tormentato da impudicizia verso il mio padre.",3
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3_fewshot,v1,Gli uomini spesso si mantengono fermi nella bugia e affrontano la verità.,4
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3_fewshot,v2,"Quella guerra fu ben fatta, l' opera perché... Et dall' altra parte, Aiaces era uno cavaliere franco e prode all' arme, in una grande maniera, ma non era pieno di grande senno.",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3_fewshot,v2,"Cruel, e prendere vendetta per tutte le colpe, come la legge dice, e non perdonare a nessun cavaliere che pecchi.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3_fewshot,v2,"Non fu ornato da alcun'altra forza d'animo il cavaliere Ponzio Aufidiano, romano.",4
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3_fewshot,v2,"Se questo piace a tutti e se il tempo ha bisogno di aver Pompeio come cavaliere e non come compagno, non riterrò più i fate.",3
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3_fewshot,v2,"L'officio di questa arte sembra che sia dire in modo particolare, e il fine è convincere per il dire.",4
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3_fewshot,v2,Ecco e larghi venti voli che colleggono le risolute nubi; e potresti credere che tutto il cielo cadesse nel mare.,3
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3_fewshot,v2,"Ma chi sarebbe disposto a sperare in ciò che questi che non vogliono ancora credere in Cristo già vedono con noi, e perché non possono negarlo, stridono con i denti.",4
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3_fewshot,v2,I vendimenti dei morti e le presure dei vivi fecero la frode di un feroce re.,4
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3_fewshot,v2,"In ordine che quel che ora, per le sue gran reità, è feroce e onorevole, sia afflitto e tormentato dalla impietà verso il mio padre.",4
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3_fewshot,v2,I uomini spesso rimasero fermi nella bugia e incontrarono la verità.,4
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3_fewshot,v3,"Quella guerra ben fatta fu l'opera perché... E, dall'altra parte, Aiace era un cavaliere francese e prode in armi, in una grande maniera, ma non era pieno di grande senno.",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3_fewshot,v3,"Cruel, e di tutte le colpe pigli vendetta, come dice la legge, e a neuno cavaliere perdoni che pecchi.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3_fewshot,v3,"Non d' altra forza d'anima fu ornato Ponzio Aufidiano, cavaliere romano.",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3_fewshot,v3,"Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non considererò più i fatti.",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3_fewshot,v3,"L'officio di questa arte pare che sia dire espressamente per far credere, e l'fine è far credere per lo dire.",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3_fewshot,v3,Ecco e larghi venti piovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare.,2
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3_fewshot,v3,"Ma chi potrebbe sperare in quello che anche quelli che non vogliono ancora credere in Cristo vedono con noi, e perché non possono negarlo, stridono con i loro denti.",3
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3_fewshot,v3,I vendi dei morti et le presure de' vivi fecà la frode d'uno feroce re.,1
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3_fewshot,v3,"Perché quel che ora, per le sue gran reità, è feroce e onorevole, egli, da ogni male afflitto e tormentato da impietà verso il mio padre, non si deve lasciare andare.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3_fewshot,v3,Gli uomini spesso si mantengono fermo nella bugia e incontrano la verità.,3
